Александровск	59.16	57.58	1783	—
Березники	59.41	56.82	1623	—
Верещагино	58.08	54.66	1898	—
Горнозаводск	58.375321	58.322936	1947	—
Губаха	58.84	57.56	1755	—
Добрянка	58.46	56.41	1623	—
Кизел	59.05	57.65	1788	—
Красновишерск	60.39	57.08	1894	—
Краснокамск	58.08	55.76	1929	—
Кудымкар	59.02	54.66	1579	—
Кунгур	57.44	56.96	1663	—
Лысьва	58.11	57.81	1785	—
Нытва	57.93	55.34	1756	—
Оса	57.28	55.46	1591	—
Оханск	57.72	55.39	1547	—
Очёр	57.88	54.72	1759	—
Пермь	58.01	56.25	1723	—
Соликамск	59.63	56.77	1430	—
Усолье	59.43	56.68	1606	—
Чайковский	56.77	54.11	1955	—
Чердынь	60.40	56.48	1451	—
Чёрмоз	58.78	56.15	1701	—
Чернушка	56.51	56.08	1854	—
Чусовой	58.30	57.81	1878	—
Дедюхин (ист.)	59.430	56.770	1684 	1952
